morocco;Mo2luo4ge1;摩洛哥;摩洛哥;Morocco
algeria;A1'er3ji2li4ya4;阿尔及利亚;阿爾及利亞;Algeria
tunisia;Tu1ni2si1;突尼斯;突尼斯;Tunisia
libya;Li4bi3ya4;利比亚;利比亞;Libya
egypt;Ai1ji2;埃及;埃及;Egypt
westernsahara;Xi1sa1ha1la1;西撒哈拉;西撒哈拉;Western Sahara
mauritania;Mao2li3ta3ni2ya4;毛里塔尼亚;毛裡塔尼亞;Mauritania
mali;Ma3li3;马里;馬裡;Mali
gambia;Gang1bi3ya4;冈比亚;岡比亞;Gambia
senegal;Sai4nei4jia1'er3;塞内加尔;塞內加爾;Senegal
guineabissau;Ji1bi3;几比;幾比;Guinea-Bissau
guinea;Ji1nei4ya4;几内亚;幾內亞;Guinea
sierraleone;Sai4la1li4'ang2;塞拉利昂;塞拉利昂;Sierra Leone
liberia;Li4bi3li3ya4;利比里亚;利比裡亞;Liberia
ivorycoast;Xiang4ya2jai3'an4;象牙海岸;象牙海岸;Ivory Coast
ghana;Jia1na4;加纳;加納;Ghana
burginafaso;Bu4ji1na4fa3suo3;布基纳法索;布基納法索;Burkina Faso
togo;Duo1ge1;多哥;多哥;Togo
benin;Bei4ning2;贝宁;貝寧;Benin
niger;Ni2ri4'Er3;尼日尔;尼日爾;Niger
nigeria;Ni2ri4li4ya4;尼日利亚;尼日利亞;Nigeria
chad;Zha4de2;乍得;乍得;Chad
sudan;Su1dan1;苏丹;蘇丹;Sudan
eritrea;E4li4te4li3ya4;厄立特里亚;厄立特里亞;Eritrea
ethiopia;Ai1sai4'e2bi3ya4;埃塞俄比亚;埃塞俄比亞;Ethiopia
djibouti;Ji2bu4ti2;吉布提;吉布提;Djibouti
somalia;Suom3ma3li3;索马里;索馬裡;Somalia
cameroon;Ka1mai4long2;喀麦隆;喀麥隆;Cameroon
gabon;Jia1peng2;加蓬;加蓬;Gabon
equatorialguinea;Chi4dao4ji1nei4ya4;赤道几内亚;赤道幾內亞;Equatorial Guinea
congo;Gang1guo3;刚果;剛果;Congo
carepublic;Zhong1fei1;中非;中非;Central African Republic
drcongo;Gang1guo3jin1;刚果金;剛果金;Democratic Republic of Congo
uganda;Wu1gan1da2;乌干达;烏干達;Uganda
kenya;Ken3ni2ya4;肯尼亚;肯尼亞;Kenya
tanzania;Tan3sang1ni2ya4;坦桑尼亚;坦桑尼亞;Tanzania
rwanda;Lu2wang4da2;卢旺达;盧旺達;Rwanda
burundi;Bu4long2di2;布隆迪;布隆迪;Burundi
malawi;Ma3la1wei2;马拉维;馬拉維;Malawi
zambia;Zan4bi3ya4;赞比亚;贊比亞;Zambia
angola;An1'ge1la1;安哥拉;安哥拉;Angola
namibia;Na4mi3bi3ya4;纳米比亚;納米比亞;Namibia
botswana;Bo2ci2wa3na4;博茨瓦纳;博茨瓦納;Botswana
zimbabwe;Jin1ba1bu4wei2;津巴布韦;津巴布韋;Zimbabwe
mozambique;Mo4sang1bi3ke4;莫桑比克;莫桑比克;Mozambique
southafrica;Nan2fei1;南非;南非;South Africa
lesotho;Lai2suo3tuo1;莱索托;萊索托;Lesotho
swaziland;Shi3wa3ji4lan2;史瓦济兰;史瓦濟蘭;Swaziland
madagascar;Ma3da2jia1si1jia1;马达加斯加;馬達加斯加;Madagascar
