morocco;Mo2luo4ge1
algeria;A1'er3ji2li4ya4
tunisia;Tu1ni2si1
libya;Li4bi3ya4
egypt;Ai1ji2
westernsahara;Xi1sa1ha1la1
mauritania;Mao2li3ta3ni2ya4
mali;Ma3li3
gambia;Gang1bi3ya4
senegal;Sai4nei4jia1'er3
guineabissau;Ji1bi3
guinea;Ji1nei4ya4
sierraleone;Sai4la1li4'ang2
liberia;Li4bi3li3ya4
ivorycoast;Xiang4ya2jai3'an4
ghana;Jia1na4
burginafaso;Bu4ji1na4fa3suo3
togo;Duo1ge1
benin;Bei4ning2
niger;Ni2ri4'Er3
nigeria;Ni2ri4li4ya4
chad;Zha4de2
sudan;Su1dan1
eritrea;E4li4te4li3ya4
ethiopia;Ai1sai4'e2bi3ya4
djibouti;Ji2bu4ti2
somalia;Suom3ma3li3
cameroon;Ka1mai4long2
gabon;Jia1peng2
equatorialguinea;Chi4dao4ji1nei4ya4
congo;Gang1guo3
carepublic;Zhong1fei1
drcongo;Gang1guo3jin1
uganda;Wu1gan1da2
kenya;Ken3ni2ya4
tanzania;Tan3sang1ni2ya4
rwanda;Lu2wang4da2
burundi;Bu4long2di2
malawi;Ma3la1wei2
zambia;Zan4bi3ya4
angola;An1'ge1la1
namibia;Na4mi3bi3ya4
botswana;Bo2ci2wa3na4
zimbabwe;Jin1ba1bu4wei2
mozambique;Mo4sang1bi3ke4
southafrica;Nan2fei1
lesotho;Lai2suo3tuo1
swaziland;Shi3wa3ji4lan2
madagascar;Ma3da2jia1si1jia1
