morocco;摩洛哥
algeria;阿爾及利亞
tunisia;突尼斯
libya;利比亞
egypt;埃及
westernsahara;西撒哈拉
mauritania;毛裡塔尼亞
mali;馬裡
gambia;岡比亞
senegal;塞內加爾
guineabissau;幾比
guinea;幾內亞
sierraleone;塞拉利昂
liberia;利比裡亞
ivorycoast;象牙海岸
ghana;加納
burginafaso;布基納法索
togo;多哥
benin;貝寧
niger;尼日爾
nigeria;尼日利亞
chad;乍得
sudan;蘇丹
eritrea;厄立特里亞
ethiopia;埃塞俄比亞
djibouti;吉布提
somalia;索馬裡
cameroon;喀麥隆
gabon;加蓬
equatorialguinea;赤道幾內亞
congo;剛果
carepublic;中非
drcongo;剛果金
uganda;烏干達
kenya;肯尼亞
tanzania;坦桑尼亞
rwanda;盧旺達
burundi;布隆迪
malawi;馬拉維
zambia;贊比亞
angola;安哥拉
namibia;納米比亞
botswana;博茨瓦納
zimbabwe;津巴布韋
mozambique;莫桑比克
southafrica;南非
lesotho;萊索托
swaziland;史瓦濟蘭
madagascar;馬達加斯加
