norway;Norway
sweden;Sweden
finland;Finland
estonia;Estonia
latvia;Latvia
lithuania;Lithuainia
poland;Poland
germany;Germany
denmark;Denmark
holland;Netherlands
belgium;Belgium
luxemburg;Luxembourg
france;France
uk;Britain
ireland;Ireland
iceland;Iceland
spain;Spain
portugal;Portugal
switzerland;Switzerland
austria;Austria
czech;Czech Republic
slovakia;Slovakia
italy;Italy
slovenia;Slovenia
hungary;Hungary
croatia;Croatia
bosher;Bosnia
montenegro;Montenegro
serbia;Serbia
albania;Albania
macedonia;Macedonia
greece;Greece
bulgaria;Bulgaria
romania;Romania
moldova;Moldova
ukraine;Ukraine
belarus;Belarus
russia;Russia
