turkey;Tu3'er3qi2;土耳其;土耳其;Turkey
syria;Xu4li4ya4;叙利亚;敘利亞;Syria
lebanon;Li2ba1nen4;黎巴嫩;黎巴嫩;Lebanon
israel;Yi3se4lie4;以色列;以色列;Israel
jordan;Yue1dan4;约旦;約旦;Jordan
saudiarabia;Sha1te4'a1la1bo2;沙特阿拉伯;沙特阿拉伯;Saudi Arabia
yemen;Ye3men2;也门;也門;Yemen
oman;A1man4;阿曼;阿曼;Oman
uae;A1lian2qiu2;阿联酋;阿聯酋;United Arab Emirates
qatar;Ka3ta3'er3;卡塔尔;卡塔爾;Qatar
kuwait;Ke1wei1te4;科威特;科威特;Kuwait
iraq;Yi1la1ke4;伊拉克;伊拉克;Iraq
iran;Yi1lang3;伊朗;伊朗;Iran
pakistan;Ba1ji1si1tan3;巴基斯坦;巴基斯坦;Pakistan
afghanistan;A1fu4han4;阿富汗;阿富汗;Afghanistan
turkmenistan;Tu3ku4man4;土库曼;土庫曼;Turkmenistan
uzbekistan;Wu1zu1bie2ke4si1tan3;乌兹别克斯坦;烏茲別克斯坦;Uzbekistan
tajikistan;Ta3ji2ke4si1tan3;塔吉克斯坦;塔吉克斯坦;Tajikistan
kyrgyzstan;Ji2'er3ji2si1si1tan3;吉尔吉斯斯坦;吉爾吉斯斯坦;Kyrghizstan
