alabama;阿拉巴馬
alaska;阿拉斯加
arizona;亞利桑那
arkansas;阿肯色
california;加利福尼亞
colorado;科羅拉多
connecticut;康涅狄格
delaware;特拉華
florida;佛羅裡達
georgia;佐治亞
hawaii;夏威夷
idaho;愛達荷
illinois;伊利諾
indiana;印地安那
iowa;愛荷華
kansas;堪薩斯
kentucky;肯塔基
louisiana;路易斯安那
maine;緬因
maryland;馬裡蘭
massachusetts;馬薩諸塞州
michigan;密執根
mississippi;密西西比
missouri;密蘇裡
monnesota;明尼蘇達
montana;蒙大拿
nebraska;內布拉斯加
nevada;內華達
newhampshire;新罕布什爾
newmexico;新墨西哥
newsjersey;紐澤西
newyork;紐約
northcarolina;北卡羅來納
northdakota;北達科他
ohio;俄亥俄
oklahoma;俄克拉何馬
oregon;俄勒岡
pennsylvania;賓夕法尼亞
rhodeisland;羅德島
southcarolina;南卡羅來納
southdakota;南達科他
tennessee;田納西
texas;德克薩斯
utah;猶他
vermont;維蒙特
virginia;弗吉尼亞
washington;華盛頓
westvirginia;西弗吉尼亞
wisconsin;威斯康辛
wyoming;懷俄明
