key,English,Japanese_Romanji
AA2,dangerous,abunai
AA3,love,ai
AA4,opponent,aite
AA5,Devil,akuma
AA6,"Thank you",arigatou
AA7,monster,bakemono
AA8,because,dakara
AA9,silent,damaru
AA10,"to deceive",damasu
AA11,who,dare
AA12,where,doko
AA13,"good luck",ganbatte
AA14,cheerful,gengi
AA15,yes,hai
AA16,quick,hayai
AA17,strange,hen
AA18,harsh,hidoi
AA19,princess,hime
AA20,good,ii
AA21,"to go",iku
AA22,life,inochi
AA23,pain,itai
AA24,god,kami
AA25,boyfriend,kareshi
AA26,girlfriend,kanojo
AA27,cute,kawaii
AA28,but,kedo
AA29,injury,kega
AA30,police,keisatsu
AA31,heart,kokoro
AA32,"to kill",korosu
AA33,afraid,kowai
AA34,"to come",kuru
AA35,magic,mahou
AA36,"to lose",makeru
AA37,"to protect",mamoru
AA38,"to wait",matsu
AA39,priestess,miko
AA40,everyone,mina
AA41,already,mou
AA42,what,nani
AA43,human,ningen
AA44,angry,okoru
AA45,please,onegai
AA46,Goodbye,sayonara
AA47,however,shikashi
AA48,"to believe",shinjiru
AA49,"to die",shinu
AA50,affection,suki
AA51,"to do",suru
AA52,"to aid",tasukeru
AA53,"to battle",tatkau
AA54,enemy,teki
AA55,friend,tomodachi
AA56,fate,unmei
AA57,traitor,uragirimono
AA58,happy,ursehii
AA59,"a lie",uso
AA60,"to understand",wakaru
AA61,I/me,watashi
AA62,promise,yakusoku
AA63,"to stop",yameru
AA64,dream,yume
AA65,always,zutto
