kazakstan;Ha1sa4ke4;哈萨克;哈薩克;Kazakstan
mongolia;Meng2gu3guo2;蒙古国;蒙古國;Mongolia
china;Zhong1guo2;中国;中國;China
india;Yin4du4;印度;印度;India
nepal;Ni2bo2'er3;尼泊尔;尼泊爾;Nepal
bangladesh;Meng4jia1la1guo2;孟加拉国;孟加拉國;Bangladesh
burma;Mian3;缅;緬;Burma
thailand;Tai4guo2;泰国;泰國;Thailand
laos;Lao3wo1;老挝;老撾;Laos
cambodia;Jian3pu3zhai4;柬埔寨;柬埔寨;Cambodia
vietnam;Yue4nan2;越南;越南;Vietnam
northkorea;Chao2xian3;朝鲜;朝鮮;North Korea
southkorea;Dai4han2;大韩;大韓;South Korea
japan;Ri2ben3;日本;日本;Japan
srilanka;Si1li3lan2ka3;斯里兰卡;斯里蘭卡;Sri Lanka
maldives;Ma3'er3dai4fu1;马尔代夫;馬爾代夫;Maldives
malaysia;Ma3lai2xi1ya4;马来西亚;馬來西亞;Malaysia
brunei;Wen2lai2;文莱;文萊;Brunei
easttimor;Dong1di4wen4;东帝汶;東帝汶;East Timor
indonesia;Yin4ni2ya4;印尼亚;印尼亞;Indonesia
philippines;Fei1lü4bin1;菲律宾;菲律賓; the Philippines
bhutan;Bu4dan1;不丹;不丹;Bhutan
singapore;Xin1jia1po1;新加坡;新加坡;Singapore
