"key","Japanese_Romanji","English"
"AA2","abunai","dangerous"
"AA3","ai","love"
"AA4","aite","opponent"
"AA5","akuma","Devil"
"AA6","arigatou","Thank you"
"AA7","bakemono","monster"
"AA8","dakara","because"
"AA9","damaru","silent"
"AA10","damasu","to deceive"
"AA11","dare","who"
"AA12","doko","where"
"AA13","ganbatte","good luck"
"AA14","gengi","cheerful"
"AA15","hai","yes"
"AA16","hayai","quick"
"AA17","hen","strange"
"AA18","hidoi","harsh"
"AA19","hime","princess"
"AA20","ii","good"
"AA21","iku","to go"
"AA22","inochi","life"
"AA23","itai","pain"
"AA24","kami","god"
"AA25","kareshi","boyfriend"
"AA26","kanojo","girlfriend"
"AA27","kawaii","cute"
"AA28","kedo","but"
"AA29","kega","injury"
"AA30","keisatsu","police"
"AA31","kokoro","heart"
"AA32","korosu","to kill"
"AA33","kowai","afraid"
"AA34","kuru","to come"
"AA35","mahou","magic"
"AA36","makeru","to lose"
"AA37","mamoru","to protect"
"AA38","matsu","to wait"
"AA39","miko","priestess"
"AA40","mina","everyone"
"AA41","mou","already"
"AA42","nani","what"
"AA43","ningen","human"
"AA44","okoru","angry"
"AA45","onegai","please"
"AA46","sayonara","Goodbye"
"AA47","shikashi","however"
"AA48","shinjiru","to believe"
"AA49","shinu","to die"
"AA50","suki","affection"
"AA51","suru","to do"
"AA52","tasukeru","to aid"
"AA53","tatkau","to battle"
"AA54","teki","enemy"
"AA55","tomodachi","friend"
"AA56","unmei","fate"
"AA57","uragirimono","traitor"
"AA58","ursehii","happy"
"AA59","uso","a lie"
"AA60","wakaru","to understand"
"AA61","watashi","I/me"
"AA62","yakusoku","promise"
"AA63","yameru","to stop"
"AA64","yume","dream"
"AA65","zutto","always"
