key,Russian,English,name
ah,"А а","a as in another",ah
beh,"Б б","b as in bit",beh
veh,"В в","v as in vine",veh
geh,"Г г","g as in get",geh
deh,"Д д","d as in door",deh
yeh,"Е е","ye as in yesterday",yeh
yo,"Ё ё","yo as in yonder",yo
zheh,"Ж ж","zh as in pleasure",zheh
zeh,"З з","z as in zoo",zeh
ee,"И и","i as in kiss",ee
eeshort,"Й й","y as in boy","ee krAtkayeh"
kah,"К к","k as in kitt",kah
el,"Л л","l as in like",el
em,"М м","m as in milk",em
en,"Н н","n as in neat ",en
oh,"О о","aw as in lawn",oh
peh,"П п","p as in poke",peh
ehr,"Р р","r as in run",ehr
es,"С с","s as in see",es
teh,"Т т","t as in take",teh
oo,"У у","oo as in pool",oo
ef,"Ф ф","f as in fish",ef
khah,"Х х","ch as in loch",khah
tseh,"Ц ц","ts as in sits",tseh
cheh,"Ч ч","ch as in chair",cheh
sheh,"Ш ш","sh as in shop",sheh
scheh,"Щ щ","sh as in sheep",scheh
eigh,ы,"ei as in being",eigh
eh,"Э э","e as in peg",eh
yu,"Ю ю","yoo as duke",yu
ya,"Я я","ya as in yarn",ya
tvyordiznak,ъ,hard,"tvYOrdi znak"
myakeeznak,ь,soft,"mYAkee znak"
